Model,BLEU,ROUGE-1,ROUGE-2,ROUGE-L,Metrics
Model_mistral_dpo,8.06,32.77,11.28,22.17,"[{'sentence_id': 1, 'sari': 39.815838, 'bertscore_precision': 69.640446, 'bertscore_recall': 70.15835, 'bertscore_f1': 69.898438, 'fre': 65.5555, 'lix': 40.5, 'compression_ratio': 61.24031, 'novelty': 64.705882, 'dis_ori_pred': 0.999358, 'dis_ori_ref': 0.978816, 'dis_pred_ref': 0.97088, 'score_dpo': 66.769712}, {'sentence_id': 2, 'sari': 43.308243, 'bertscore_precision': 75.283313, 'bertscore_recall': 71.154469, 'bertscore_f1': 73.160678, 'fre': 91.045899, 'lix': 33.179825, 'compression_ratio': 70.858896, 'novelty': 53.571429, 'dis_ori_pred': 0.990889, 'dis_ori_ref': 0.996795, 'dis_pred_ref': 0.99848, 'score_dpo': 70.719827}, {'sentence_id': 3, 'sari': 39.765975, 'bertscore_precision': 72.474253, 'bertscore_recall': 75.94837, 'bertscore_f1': 74.170649, 'fre': 70.486071, 'lix': 37.166667, 'compression_ratio': 32.258065, 'novelty': 23.684211, 'dis_ori_pred': 0.999928, 'dis_ori_ref': 0.999927, 'dis_pred_ref': 0.999875, 'score_dpo': 65.056448}, {'sentence_id': 4, 'sari': 45.001407, 'bertscore_precision': 73.663682, 'bertscore_recall': 72.400588, 'bertscore_f1': 73.026669, 'fre': 74.3525, 'lix': 46.409091, 'compression_ratio': 83.703704, 'novelty': 66.666667, 'dis_ori_pred': 0.99827, 'dis_ori_ref': 0.999343, 'dis_pred_ref': 0.998883, 'score_dpo': 70.819903}, {'sentence_id': 5, 'sari': 35.3667, 'bertscore_precision': 68.648243, 'bertscore_recall': 68.995798, 'bertscore_f1': 68.821579, 'fre': 64.469318, 'lix': 39.227273, 'compression_ratio': 44.067797, 'novelty': 72.727273, 'dis_ori_pred': 0.999968, 'dis_ori_ref': 0.997562, 'dis_pred_ref': 0.997001, 'score_dpo': 65.005779}, {'sentence_id': 6, 'sari': 49.131581, 'bertscore_precision': 72.029674, 'bertscore_recall': 78.364408, 'bertscore_f1': 75.063628, 'fre': 63.329545, 'lix': 48.935065, 'compression_ratio': 7.368421, 'novelty': 5.405405, 'dis_ori_pred': 0.999712, 'dis_ori_ref': 0.208033, 'dis_pred_ref': 0.22316, 'score_dpo': 64.336522}, {'sentence_id': 7, 'sari': 37.023357, 'bertscore_precision': 70.762229, 'bertscore_recall': 79.452586, 'bertscore_f1': 74.856025, 'fre': 63.330194, 'lix': 48.707527, 'compression_ratio': 5.102041, 'novelty': 12.820513, 'dis_ori_pred': 0.999847, 'dis_ori_ref': 0.998972, 'dis_pred_ref': 0.9996, 'score_dpo': 62.137088}, {'sentence_id': 8, 'sari': 48.224948, 'bertscore_precision': 73.180699, 'bertscore_recall': 76.130211, 'bertscore_f1': 74.626327, 'fre': 67.755, 'lix': 43.666667, 'compression_ratio': 41.176471, 'novelty': 51.851852, 'dis_ori_pred': 0.581305, 'dis_ori_ref': 0.999618, 'dis_pred_ref': 0.592907, 'score_dpo': 57.998249}, {'sentence_id': 9, 'sari': 37.569947, 'bertscore_precision': 73.603666, 'bertscore_recall': 73.829395, 'bertscore_f1': 73.71636, 'fre': 77.441077, 'lix': 33.441026, 'compression_ratio': 46.575342, 'novelty': 36.842105, 'dis_ori_pred': 0.999999, 'dis_ori_ref': 0.999765, 'dis_pred_ref': 0.999748, 'score_dpo': 66.543877}, {'sentence_id': 10, 'sari': 38.736541, 'bertscore_precision': 70.565879, 'bertscore_recall': 72.941303, 'bertscore_f1': 71.733934, 'fre': 53.224088, 'lix': 48.798742, 'compression_ratio': 13.821138, 'novelty': 22.222222, 'dis_ori_pred': 0.948853, 'dis_ori_ref': 0.376536, 'dis_pred_ref': 0.181991, 'score_dpo': 60.117334}, {'sentence_id': 11, 'sari': 39.382464, 'bertscore_precision': 71.349728, 'bertscore_recall': 70.791316, 'bertscore_f1': 71.069425, 'fre': 43.340967, 'lix': 50.042453, 'compression_ratio': 23.741007, 'novelty': 18.518519, 'dis_ori_pred': 0.89384, 'dis_ori_ref': 0.985545, 'dis_pred_ref': 0.889647, 'score_dpo': 57.990624}, {'sentence_id': 12, 'sari': 39.092883, 'bertscore_precision': 0.0, 'bertscore_recall': 0.0, 'bertscore_f1': 0.0, 'fre': nan, 'lix': nan, 'compression_ratio': 100.0, 'novelty': 0.0, 'dis_ori_pred': 0.111707, 'dis_ori_ref': 0.105784, 'dis_pred_ref': 0.10604, 'score_dpo': nan}, {'sentence_id': 13, 'sari': 40.74567, 'bertscore_precision': 73.531878, 'bertscore_recall': 69.973862, 'bertscore_f1': 71.708763, 'fre': 79.025, 'lix': 29.833333, 'compression_ratio': 52.941176, 'novelty': 58.62069, 'dis_ori_pred': 0.999519, 'dis_ori_ref': 0.863149, 'dis_pred_ref': 0.878076, 'score_dpo': 68.139161}, {'sentence_id': 14, 'sari': 36.192341, 'bertscore_precision': 69.684756, 'bertscore_recall': 70.411724, 'bertscore_f1': 70.046353, 'fre': 57.232421, 'lix': 39.470175, 'compression_ratio': -3.636364, 'novelty': 48.148148, 'dis_ori_pred': 0.015938, 'dis_ori_ref': 0.842293, 'dis_pred_ref': 0.232121, 'score_dpo': 36.600043}, {'sentence_id': 15, 'sari': 37.494587, 'bertscore_precision': 74.322158, 'bertscore_recall': 76.095736, 'bertscore_f1': 75.198489, 'fre': 78.872857, 'lix': 27.408163, 'compression_ratio': 5.769231, 'novelty': 14.285714, 'dis_ori_pred': 0.998299, 'dis_ori_ref': 0.180235, 'dis_pred_ref': 0.132256, 'score_dpo': 63.908067}, {'sentence_id': 16, 'sari': 45.544712, 'bertscore_precision': 74.396938, 'bertscore_recall': 75.525612, 'bertscore_f1': 74.957031, 'fre': 86.64, 'lix': 26.893557, 'compression_ratio': 5.555556, 'novelty': 16.666667, 'dis_ori_pred': 0.625054, 'dis_ori_ref': 0.628481, 'dis_pred_ref': 0.907436, 'score_dpo': 56.998367}, {'sentence_id': 17, 'sari': 48.433485, 'bertscore_precision': 0.0, 'bertscore_recall': 0.0, 'bertscore_f1': 0.0, 'fre': nan, 'lix': nan, 'compression_ratio': 100.0, 'novelty': 0.0, 'dis_ori_pred': 0.076448, 'dis_ori_ref': 0.147535, 'dis_pred_ref': 0.987513, 'score_dpo': nan}, {'sentence_id': 18, 'sari': 39.786208, 'bertscore_precision': 67.675924, 'bertscore_recall': 71.183074, 'bertscore_f1': 69.385207, 'fre': 45.5325, 'lix': 40.833333, 'compression_ratio': -1.694915, 'novelty': 0.0, 'dis_ori_pred': 0.999106, 'dis_ori_ref': 0.834729, 'dis_pred_ref': 0.836901, 'score_dpo': 58.227826}, {'sentence_id': 19, 'sari': 33.356033, 'bertscore_precision': 63.362283, 'bertscore_recall': 69.626832, 'bertscore_f1': 66.347003, 'fre': 61.365833, 'lix': 40.166667, 'compression_ratio': 21.95122, 'novelty': 86.956522, 'dis_ori_pred': 0.885203, 'dis_ori_ref': 0.315785, 'dis_pred_ref': 0.352899, 'score_dpo': 60.316868}, {'sentence_id': 20, 'sari': 64.82684, 'bertscore_precision': 64.959383, 'bertscore_recall': 73.886818, 'bertscore_f1': 69.136089, 'fre': 75.5, 'lix': 31.222222, 'compression_ratio': 15.625, 'novelty': 27.272727, 'dis_ori_pred': 0.677732, 'dis_ori_ref': 0.519783, 'dis_pred_ref': 0.972799, 'score_dpo': 60.401776}, {'sentence_id': 21, 'sari': 47.310388, 'bertscore_precision': 53.546578, 'bertscore_recall': 45.842451, 'bertscore_f1': 49.395925, 'fre': 121.22, 'lix': 1.0, 'compression_ratio': 96.551724, 'novelty': 0.0, 'dis_ori_pred': 0.173225, 'dis_ori_ref': 0.921843, 'dis_pred_ref': 0.346051, 'score_dpo': 45.620793}, {'sentence_id': 22, 'sari': 37.728701, 'bertscore_precision': 71.054399, 'bertscore_recall': 70.317924, 'bertscore_f1': 70.684242, 'fre': 84.970833, 'lix': 23.166667, 'compression_ratio': 15.789474, 'novelty': 7.142857, 'dis_ori_pred': 0.999997, 'dis_ori_ref': 0.989755, 'dis_pred_ref': 0.990117, 'score_dpo': 63.395014}, {'sentence_id': 23, 'sari': 39.66952, 'bertscore_precision': 66.047871, 'bertscore_recall': 68.977427, 'bertscore_f1': 67.480868, 'fre': 69.207387, 'lix': 37.583639, 'compression_ratio': -111.627907, 'novelty': 50.0, 'dis_ori_pred': 0.999958, 'dis_ori_ref': 0.014724, 'dis_pred_ref': 0.023861, 'score_dpo': 57.022804}, {'sentence_id': 24, 'sari': 37.731481, 'bertscore_precision': 72.542882, 'bertscore_recall': 74.580342, 'bertscore_f1': 73.547506, 'fre': 64.924545, 'lix': 40.545455, 'compression_ratio': -62.962963, 'novelty': 23.076923, 'dis_ori_pred': 1.0, 'dis_ori_ref': 0.999998, 'dis_pred_ref': 0.999997, 'score_dpo': 59.11152}, {'sentence_id': 25, 'sari': 36.91038, 'bertscore_precision': 70.559329, 'bertscore_recall': 69.863534, 'bertscore_f1': 70.209706, 'fre': 74.639403, 'lix': 28.974414, 'compression_ratio': 40.707965, 'novelty': 59.259259, 'dis_ori_pred': 0.997508, 'dis_ori_ref': 0.993717, 'dis_pred_ref': 0.997261, 'score_dpo': 65.845325}, {'sentence_id': 26, 'sari': 36.266065, 'bertscore_precision': 70.468593, 'bertscore_recall': 76.085764, 'bertscore_f1': 73.169529, 'fre': 67.8115, 'lix': 39.166667, 'compression_ratio': 19.354839, 'novelty': 32.142857, 'dis_ori_pred': 0.99999, 'dis_ori_ref': 0.999794, 'dis_pred_ref': 0.999752, 'score_dpo': 63.581395}, {'sentence_id': 27, 'sari': 41.386782, 'bertscore_precision': 71.054423, 'bertscore_recall': 78.627175, 'bertscore_f1': 74.649239, 'fre': 59.564737, 'lix': 45.398496, 'compression_ratio': 5.590062, 'novelty': 11.111111, 'dis_ori_pred': 0.999994, 'dis_ori_ref': 0.05943, 'dis_pred_ref': 0.057013, 'score_dpo': 62.501822}, {'sentence_id': 28, 'sari': 51.248926, 'bertscore_precision': 79.941583, 'bertscore_recall': 74.966139, 'bertscore_f1': 77.373958, 'fre': 67.621895, 'lix': 42.978947, 'compression_ratio': 51.694915, 'novelty': 29.166667, 'dis_ori_pred': 0.972916, 'dis_ori_ref': 0.439555, 'dis_pred_ref': 0.633604, 'score_dpo': 68.606111}, {'sentence_id': 29, 'sari': 55.745048, 'bertscore_precision': 75.779784, 'bertscore_recall': 80.570251, 'bertscore_f1': 78.101629, 'fre': 58.201176, 'lix': 47.588235, 'compression_ratio': 1.162791, 'novelty': 42.857143, 'dis_ori_pred': 0.406521, 'dis_ori_ref': 0.027075, 'dis_pred_ref': 0.261103, 'score_dpo': 52.77832}, {'sentence_id': 30, 'sari': 32.520535, 'bertscore_precision': 67.869222, 'bertscore_recall': 72.000086, 'bertscore_f1': 69.873655, 'fre': 65.702657, 'lix': 35.78806, 'compression_ratio': 12.987013, 'novelty': 27.272727, 'dis_ori_pred': 0.999777, 'dis_ori_ref': 0.999384, 'dis_pred_ref': 0.999575, 'score_dpo': 61.056077}, {'sentence_id': 31, 'sari': 36.71355, 'bertscore_precision': 71.171552, 'bertscore_recall': 73.591691, 'bertscore_f1': 72.361392, 'fre': 59.028971, 'lix': 45.107843, 'compression_ratio': 13.559322, 'novelty': 52.777778, 'dis_ori_pred': 0.974011, 'dis_ori_ref': 0.999988, 'dis_pred_ref': 0.975096, 'score_dpo': 62.625212}, {'sentence_id': 32, 'sari': 39.96297, 'bertscore_precision': 75.885999, 'bertscore_recall': 78.516173, 'bertscore_f1': 77.178681, 'fre': 82.955057, 'lix': 30.511364, 'compression_ratio': 30.379747, 'novelty': 43.478261, 'dis_ori_pred': 0.999331, 'dis_ori_ref': 0.998342, 'dis_pred_ref': 0.999748, 'score_dpo': 68.12236}, {'sentence_id': 33, 'sari': 43.718851, 'bertscore_precision': 72.705609, 'bertscore_recall': 74.927825, 'bertscore_f1': 73.799992, 'fre': 74.392179, 'lix': 45.205128, 'compression_ratio': 46.391753, 'novelty': 50.0, 'dis_ori_pred': 0.982381, 'dis_ori_ref': 0.981919, 'dis_pred_ref': 0.99999, 'score_dpo': 67.705445}]"
Model_mistral_grpo,7.64,32.86,12.14,22.63,"[{'sentence_id': 1, 'sari': 41.146119, 'bertscore_precision': 75.299263, 'bertscore_recall': 73.465854, 'bertscore_f1': 74.37126, 'fre': 78.765833, 'lix': 37.574074, 'compression_ratio': 58.139535, 'novelty': 42.105263, 'dis_ori_pred': 0.995076, 'dis_ori_ref': 0.978816, 'dis_pred_ref': 0.953705, 'score_dpo': 68.308588}, {'sentence_id': 2, 'sari': 46.83261, 'bertscore_precision': 77.702957, 'bertscore_recall': 77.71039, 'bertscore_f1': 77.706677, 'fre': 82.542273, 'lix': 35.186147, 'compression_ratio': 59.509202, 'novelty': 43.137255, 'dis_ori_pred': 0.990176, 'dis_ori_ref': 0.996795, 'dis_pred_ref': 0.998183, 'score_dpo': 70.819478}, {'sentence_id': 3, 'sari': 40.106798, 'bertscore_precision': 78.096557, 'bertscore_recall': 80.816317, 'bertscore_f1': 79.433167, 'fre': 74.170995, 'lix': 31.648579, 'compression_ratio': 44.516129, 'novelty': 27.586207, 'dis_ori_pred': 0.905896, 'dis_ori_ref': 0.999927, 'dis_pred_ref': 0.905455, 'score_dpo': 65.525581}, {'sentence_id': 4, 'sari': 41.368158, 'bertscore_precision': 72.546679, 'bertscore_recall': 75.125146, 'bertscore_f1': 73.813409, 'fre': 79.494189, 'lix': 43.003861, 'compression_ratio': 45.185185, 'novelty': 31.428571, 'dis_ori_pred': 0.999048, 'dis_ori_ref': 0.999343, 'dis_pred_ref': 0.996845, 'score_dpo': 67.178455}, {'sentence_id': 5, 'sari': 38.304497, 'bertscore_precision': 74.08722, 'bertscore_recall': 73.745978, 'bertscore_f1': 73.916203, 'fre': 75.944098, 'lix': 34.943794, 'compression_ratio': 48.305085, 'novelty': 69.230769, 'dis_ori_pred': 0.999993, 'dis_ori_ref': 0.997562, 'dis_pred_ref': 0.997297, 'score_dpo': 68.306866}, {'sentence_id': 6, 'sari': 50.172773, 'bertscore_precision': 74.180532, 'bertscore_recall': 78.772855, 'bertscore_f1': 76.407754, 'fre': 71.719048, 'lix': 45.952381, 'compression_ratio': 26.315789, 'novelty': 22.727273, 'dis_ori_pred': 0.910169, 'dis_ori_ref': 0.208033, 'dis_pred_ref': 0.542695, 'score_dpo': 65.348957}, {'sentence_id': 7, 'sari': 35.234665, 'bertscore_precision': 72.544813, 'bertscore_recall': 74.386501, 'bertscore_f1': 73.454112, 'fre': 73.363506, 'lix': 35.248428, 'compression_ratio': 45.918367, 'novelty': 42.857143, 'dis_ori_pred': 0.245361, 'dis_ori_ref': 0.998972, 'dis_pred_ref': 0.256641, 'score_dpo': 46.994616}, {'sentence_id': 8, 'sari': 45.1424, 'bertscore_precision': 71.7058, 'bertscore_recall': 77.092683, 'bertscore_f1': 74.301732, 'fre': 76.976667, 'lix': 37.083333, 'compression_ratio': 21.568627, 'novelty': 43.333333, 'dis_ori_pred': 0.99986, 'dis_ori_ref': 0.999618, 'dis_pred_ref': 0.999506, 'score_dpo': 67.277773}, {'sentence_id': 9, 'sari': 42.359625, 'bertscore_precision': 69.928366, 'bertscore_recall': 66.749519, 'bertscore_f1': 68.301976, 'fre': 91.071875, 'lix': 22.896277, 'compression_ratio': 35.616438, 'novelty': 93.75, 'dis_ori_pred': 0.992657, 'dis_ori_ref': 0.999765, 'dis_pred_ref': 0.994982, 'score_dpo': 69.361855}, {'sentence_id': 10, 'sari': 36.262945, 'bertscore_precision': 68.870592, 'bertscore_recall': 69.710153, 'bertscore_f1': 69.287825, 'fre': 62.543127, 'lix': 46.594366, 'compression_ratio': 42.276423, 'novelty': 33.333333, 'dis_ori_pred': 0.965057, 'dis_ori_ref': 0.376536, 'dis_pred_ref': 0.216134, 'score_dpo': 62.200675}, {'sentence_id': 11, 'sari': 40.137271, 'bertscore_precision': 72.999018, 'bertscore_recall': 73.603976, 'bertscore_f1': 73.300248, 'fre': 75.20564, 'lix': 32.810976, 'compression_ratio': -17.985612, 'novelty': 65.517241, 'dis_ori_pred': 0.999564, 'dis_ori_ref': 0.985545, 'dis_pred_ref': 0.985537, 'score_dpo': 64.904013}, {'sentence_id': 12, 'sari': 34.46753, 'bertscore_precision': 69.498062, 'bertscore_recall': 67.728561, 'bertscore_f1': 68.6019, 'fre': 54.2825, 'lix': 47.968085, 'compression_ratio': 8.737864, 'novelty': 33.333333, 'dis_ori_pred': 0.989028, 'dis_ori_ref': 0.105784, 'dis_pred_ref': 0.058307, 'score_dpo': 59.733865}, {'sentence_id': 13, 'sari': 44.464017, 'bertscore_precision': 71.451247, 'bertscore_recall': 70.875251, 'bertscore_f1': 71.162081, 'fre': 63.548599, 'lix': 39.610632, 'compression_ratio': 43.137255, 'novelty': 23.684211, 'dis_ori_pred': 0.994252, 'dis_ori_ref': 0.863149, 'dis_pred_ref': 0.826218, 'score_dpo': 64.793906}, {'sentence_id': 14, 'sari': 39.437323, 'bertscore_precision': 66.685593, 'bertscore_recall': 69.551355, 'bertscore_f1': 68.088329, 'fre': 57.235696, 'lix': 39.133816, 'compression_ratio': -43.636364, 'novelty': 53.846154, 'dis_ori_pred': 0.263576, 'dis_ori_ref': 0.842293, 'dis_pred_ref': 0.730697, 'score_dpo': 41.14344}, {'sentence_id': 15, 'sari': 37.494587, 'bertscore_precision': 74.297386, 'bertscore_recall': 76.093554, 'bertscore_f1': 75.184751, 'fre': 78.872857, 'lix': 27.408163, 'compression_ratio': 5.769231, 'novelty': 14.285714, 'dis_ori_pred': 0.99859, 'dis_ori_ref': 0.180235, 'dis_pred_ref': 0.130613, 'score_dpo': 63.911263}, {'sentence_id': 16, 'sari': 44.927199, 'bertscore_precision': 73.69687, 'bertscore_recall': 75.504375, 'bertscore_f1': 74.589676, 'fre': 77.451857, 'lix': 29.828571, 'compression_ratio': -55.555556, 'novelty': 39.130435, 'dis_ori_pred': 0.684024, 'dis_ori_ref': 0.628481, 'dis_pred_ref': 0.913019, 'score_dpo': 55.389051}, {'sentence_id': 17, 'sari': 33.523547, 'bertscore_precision': 68.640113, 'bertscore_recall': 70.629013, 'bertscore_f1': 69.620359, 'fre': 37.9, 'lix': 51.222222, 'compression_ratio': 31.818182, 'novelty': 8.333333, 'dis_ori_pred': 0.982135, 'dis_ori_ref': 0.147535, 'dis_pred_ref': 0.152035, 'score_dpo': 57.944601}, {'sentence_id': 18, 'sari': 29.19799, 'bertscore_precision': 58.568883, 'bertscore_recall': 45.14505, 'bertscore_f1': 50.988233, 'fre': 121.22, 'lix': 1.0, 'compression_ratio': 98.305085, 'novelty': 0.0, 'dis_ori_pred': 0.82061, 'dis_ori_ref': 0.834729, 'dis_pred_ref': 0.99855, 'score_dpo': 58.862323}, {'sentence_id': 19, 'sari': 29.413688, 'bertscore_precision': 56.779122, 'bertscore_recall': 60.826743, 'bertscore_f1': 58.733279, 'fre': 47.539218, 'lix': 45.600582, 'compression_ratio': -575.609756, 'novelty': 92.857143, 'dis_ori_pred': 0.161851, 'dis_ori_ref': 0.315785, 'dis_pred_ref': 0.971214, 'score_dpo': 8.179228}, {'sentence_id': 20, 'sari': 27.924792, 'bertscore_precision': 63.636959, 'bertscore_recall': 69.409913, 'bertscore_f1': 66.398197, 'fre': 74.99381, 'lix': 30.761905, 'compression_ratio': -75.0, 'novelty': 21.052632, 'dis_ori_pred': 0.749275, 'dis_ori_ref': 0.519783, 'dis_pred_ref': 0.882065, 'score_dpo': 49.063353}, {'sentence_id': 21, 'sari': 47.310388, 'bertscore_precision': 0.0, 'bertscore_recall': 0.0, 'bertscore_f1': 0.0, 'fre': nan, 'lix': nan, 'compression_ratio': 100.0, 'novelty': 0.0, 'dis_ori_pred': 0.174212, 'dis_ori_ref': 0.921843, 'dis_pred_ref': 0.345963, 'score_dpo': nan}, {'sentence_id': 22, 'sari': 37.991046, 'bertscore_precision': 71.581507, 'bertscore_recall': 70.506895, 'bertscore_f1': 71.040142, 'fre': 84.456344, 'lix': 23.236559, 'compression_ratio': 18.421053, 'novelty': 7.142857, 'dis_ori_pred': 0.999992, 'dis_ori_ref': 0.989755, 'dis_pred_ref': 0.990318, 'score_dpo': 63.634692}, {'sentence_id': 23, 'sari': 40.192089, 'bertscore_precision': 67.384517, 'bertscore_recall': 70.446879, 'bertscore_f1': 68.881673, 'fre': 72.272713, 'lix': 39.914729, 'compression_ratio': -100.0, 'novelty': 39.285714, 'dis_ori_pred': 0.999996, 'dis_ori_ref': 0.014724, 'dis_pred_ref': 0.017502, 'score_dpo': 57.901176}, {'sentence_id': 24, 'sari': 61.627243, 'bertscore_precision': 64.882761, 'bertscore_recall': 67.267907, 'bertscore_f1': 66.053808, 'fre': 69.158455, 'lix': 35.617886, 'compression_ratio': -51.851852, 'novelty': 87.5, 'dis_ori_pred': 0.999809, 'dis_ori_ref': 0.999998, 'dis_pred_ref': 0.999839, 'score_dpo': 65.839364}, {'sentence_id': 25, 'sari': 39.845822, 'bertscore_precision': 75.180578, 'bertscore_recall': 72.72898, 'bertscore_f1': 73.93446, 'fre': 78.875057, 'lix': 30.356322, 'compression_ratio': 48.672566, 'novelty': 52.0, 'dis_ori_pred': 0.9999, 'dis_ori_ref': 0.993717, 'dis_pred_ref': 0.995184, 'score_dpo': 68.072205}, {'sentence_id': 26, 'sari': 54.330694, 'bertscore_precision': 73.683167, 'bertscore_recall': 80.053514, 'bertscore_f1': 76.736355, 'fre': 63.289, 'lix': 43.229268, 'compression_ratio': 11.827957, 'novelty': 63.333333, 'dis_ori_pred': 0.999989, 'dis_ori_ref': 0.999794, 'dis_pred_ref': 0.999707, 'score_dpo': 69.000135}, {'sentence_id': 27, 'sari': 38.058511, 'bertscore_precision': 71.459758, 'bertscore_recall': 72.809589, 'bertscore_f1': 72.128361, 'fre': 43.693654, 'lix': 60.192308, 'compression_ratio': 59.627329, 'novelty': 38.709677, 'dis_ori_pred': 0.999961, 'dis_ori_ref': 0.05943, 'dis_pred_ref': 0.050697, 'score_dpo': 63.536719}, {'sentence_id': 28, 'sari': 50.521047, 'bertscore_precision': 80.540466, 'bertscore_recall': 74.65468, 'bertscore_f1': 77.485967, 'fre': 69.539091, 'lix': 40.090909, 'compression_ratio': 53.389831, 'novelty': 26.086957, 'dis_ori_pred': 0.957398, 'dis_ori_ref': 0.439555, 'dis_pred_ref': 0.675708, 'score_dpo': 68.235011}, {'sentence_id': 29, 'sari': 54.86055, 'bertscore_precision': 76.417834, 'bertscore_recall': 81.616163, 'bertscore_f1': 78.931504, 'fre': 66.885, 'lix': 40.634921, 'compression_ratio': -4.651163, 'novelty': 40.0, 'dis_ori_pred': 0.661491, 'dis_ori_ref': 0.027075, 'dis_pred_ref': 0.216651, 'score_dpo': 59.661871}, {'sentence_id': 30, 'sari': 48.381405, 'bertscore_precision': 70.471835, 'bertscore_recall': 76.294756, 'bertscore_f1': 73.267788, 'fre': 60.191765, 'lix': 44.941176, 'compression_ratio': 11.688312, 'novelty': 52.0, 'dis_ori_pred': 0.712121, 'dis_ori_ref': 0.999384, 'dis_pred_ref': 0.729492, 'score_dpo': 58.686337}, {'sentence_id': 31, 'sari': 39.271277, 'bertscore_precision': 73.384136, 'bertscore_recall': 75.453484, 'bertscore_f1': 74.404424, 'fre': 75.905692, 'lix': 38.107692, 'compression_ratio': 11.864407, 'novelty': 50.0, 'dis_ori_pred': 0.939435, 'dis_ori_ref': 0.999988, 'dis_pred_ref': 0.940826, 'score_dpo': 64.348121}, {'sentence_id': 32, 'sari': 38.690715, 'bertscore_precision': 73.640549, 'bertscore_recall': 77.65969, 'bertscore_f1': 75.596738, 'fre': 75.90209, 'lix': 36.4371, 'compression_ratio': 15.189873, 'novelty': 66.666667, 'dis_ori_pred': 0.999999, 'dis_ori_ref': 0.998342, 'dis_pred_ref': 0.998331, 'score_dpo': 67.110862}, {'sentence_id': 33, 'sari': 38.76049, 'bertscore_precision': 72.166723, 'bertscore_recall': 76.53805, 'bertscore_f1': 74.288142, 'fre': 77.668462, 'lix': 35.43956, 'compression_ratio': 32.989691, 'novelty': 50.0, 'dis_ori_pred': 0.974474, 'dis_ori_ref': 0.981919, 'dis_pred_ref': 0.915066, 'score_dpo': 66.329569}]"
