sentence_id,df_index,sari,bertscore_precision,bertscore_recall,bertscore_f1,fre,lix,compression_ratio,novelty,dis_ori_pred,dis_ori_ref,dis_pred_ref,score_dpo
163,3842,53.441409,80.6449,82.633555,81.627113,96.940433,13.335217,41.584158,39.130435,0.999156,0.99923,0.999989,73.887519
163,3843,42.883014,78.421646,77.075565,77.742773,95.564394,16.424242,34.653465,42.857143,0.999155,0.99923,0.999991,70.311455
164,3844,62.703194,78.444946,74.983853,76.675361,103.594927,22.834146,26.785714,36.363636,0.937957,0.128617,0.442517,72.516934
164,3845,46.757476,73.730522,70.752937,72.211045,101.766636,26.981818,21.428571,50.0,0.954595,0.128617,0.164814,68.633911
164,3846,45.709682,76.270044,70.158499,73.086739,100.723589,23.879032,44.642857,58.333333,0.110516,0.128617,0.127947,49.07754
164,3847,37.405825,73.188818,68.203992,70.608538,99.567806,25.554839,44.642857,50.0,0.427189,0.128617,0.229311,54.04995
165,3848,38.903321,69.603479,68.480855,69.037598,99.012826,23.962733,41.025641,83.333333,0.169544,0.996293,0.167927,48.850693
165,3849,38.871265,69.743979,68.462908,69.097507,100.473182,24.467532,43.589744,72.727273,0.260695,0.996293,0.269415,50.885236
165,3850,36.911776,71.410835,69.43844,70.410824,85.024195,30.15122,47.435897,62.5,0.937265,0.996293,0.935498,65.939192
165,3851,36.270529,70.374888,68.625712,69.489294,100.452885,27.012821,50.0,66.666667,0.162698,0.996293,0.15838,48.049177
166,3852,41.472126,75.931692,77.227646,76.574188,89.3015,31.4,62.352941,28.571429,0.702445,0.725798,0.998592,62.305273
166,3853,42.026977,73.297989,76.542085,74.884921,94.887692,31.212454,54.117647,44.444444,0.709499,0.725798,0.999015,63.032244
166,3854,41.960164,72.696173,75.265098,73.958337,91.055,28.214286,52.941176,44.444444,0.701956,0.725798,0.998768,62.107677
166,3855,44.055715,74.744213,72.480071,73.594731,91.538319,34.836207,65.882353,53.333333,0.701987,0.725798,0.998788,63.557346
